new entry "Metamagic_Quickened"
type "PassiveData"
data "DisplayName" "h2a4fba9dg0b06g4e44ga7b4gbd11d93de433;1"
data "Description" "hc94b3484g2ddcg4479g81bbgf237ca981795;2"
data "DescriptionParams" "2"
data "Icon" "Skill_Sorcerer_Passive_Metamagic_QuickenedSpell"
data "EnabledConditions" "HasActionResource('SorceryPoint', 2, 0, false, false, context.Source)"
data "EnabledContext" "OnCastResolved;OnLongRest;OnActionResourcesChanged"
data "Properties" "IsToggled;ToggledDefaultAddToHotbar;MetaMagic"
data "Boosts" "UnlockSpellVariant(QuickenedSpellCheck(),ModifyUseCosts(Add,SorceryPoint,2,0),ModifyUseCosts(Replace,BonusActionPoint,1,0,ActionPoint))"
data "ToggleOnEffect" "VFX_Spells_Cast_Sorcerer_Metamagic_Quickened_HeadFX_01:Dummy_HeadFX"
data "ToggleOffContext" "OnCastResolved"
data "ToggleGroup" "Metamagic"
